Data file generated using DWRITE.M v1.0
Written on 06-May-2009.
$head$

string:species
float:MW
table1d:thermal,T,h,s
$/head$


species=Ar
MW=39.944000
thermal=
              5300 |   5.42051040e+006   3.12368774e+003
              5400 |   5.44842240e+006   3.12887938e+003
              5500 |   5.47633440e+006   3.13401518e+003
              5600 |   5.50424640e+006   3.13903934e+003
              5700 |   5.53215840e+006   3.14400768e+003
              5800 |   5.56007040e+006   3.14886437e+003
              5900 |   5.58798240e+006   3.15360941e+003
              6000 |   5.61589440e+006   3.15829862e+003



species=As(s)
MW=75.000000
thermal=
               200 |  -3.27686880e+004   3.43094304e+002
     2.981500e+002 |   0.00000000e+000   4.76402016e+002
               300 |   6.14064000e+002   4.78467504e+002
               400 |   3.39968160e+004   5.74484784e+002
               500 |   6.82169280e+004   6.50740368e+002
               600 |   1.03106928e+005   7.14435552e+002
               700 |   1.38834288e+005   7.69422192e+002
               800 |   1.74561648e+005   8.17151712e+002
               900 |   2.10289008e+005   8.59187184e+002
              1000 |   2.46016368e+005   8.96868384e+002
              1100 |   2.81743728e+005   9.30921024e+002
              1200 |   3.17471088e+005   9.62014992e+002
              1300 |   3.53198448e+005   9.90596880e+002
              1400 |   3.88925808e+005   1.01705746e+003
              1500 |   4.24653168e+005   1.04173166e+003
              1600 |   4.60380528e+005   1.06478698e+003
              1700 |   4.96107888e+005   1.08644669e+003
              1800 |   5.31835248e+005   1.10687827e+003
              1900 |   5.67562608e+005   1.12619338e+003
              2000 |   6.03289968e+005   1.14450365e+003
              2100 |   6.39017328e+005   1.16192074e+003
              2200 |   6.74744688e+005   1.17855629e+003
              2300 |   7.10472048e+005   1.19441030e+003
              2400 |   7.46199408e+005   1.20965026e+003
              2500 |   7.81926768e+005   1.22422032e+003
              2600 |   8.17654128e+005   1.23823214e+003
              2700 |   8.53381488e+005   1.25174155e+003
              2800 |   8.89108848e+005   1.26469272e+003
              2900 |   9.24836208e+005   1.27725312e+003
              3000 |   9.60563568e+005   1.28936693e+003
              3100 |   9.96290928e+005   1.30108997e+003
              3200 |   1.03201829e+006   1.31242224e+003
              3300 |   1.06774565e+006   1.32341957e+003
              3400 |   1.10347301e+006   1.33408195e+003
              3500 |   1.13920037e+006   1.34440939e+003
              3600 |   1.17492773e+006   1.35451354e+003
              3700 |   1.21065509e+006   1.36428274e+003
              3800 |   1.24638245e+006   1.37382864e+003
              3900 |   1.28210981e+006   1.38309542e+003
              4000 |   1.31783717e+006   1.39213891e+003
              4100 |   1.35356453e+006   1.40095910e+003
              4200 |   1.38929189e+006   1.40955600e+003
              4300 |   1.42501925e+006   1.41798542e+003
              4400 |   1.46074661e+006   1.42619155e+003
              4500 |   1.49647397e+006   1.43423021e+003
              4600 |   1.53220133e+006   1.44204557e+003
              4700 |   1.56792869e+006   1.44974928e+003
              4800 |   1.60365605e+006   1.45728552e+003
              4900 |   1.63938341e+006   1.46465429e+003
              5000 |   1.67511077e+006   1.47185558e+003
              5100 |   1.71083813e+006   1.47894523e+003
              5200 |   1.74656549e+006   1.48586741e+003
              5300 |   1.78229285e+006   1.49267794e+003
              5400 |   1.81802021e+006   1.49937682e+003
              5500 |   1.85374757e+006   1.50590822e+003
              5600 |   1.88947493e+006   1.51232798e+003
              5700 |   1.92520229e+006   1.51869192e+003
              5800 |   1.96092965e+006   1.52488838e+003
              5900 |   1.99665701e+006   1.53097320e+003
